dataset,fold,k_neighbors,F1,AUC,MCC,Gmean
KC1,0,3,0.47058823529411764,0.8223012281835811,0.36964036228905206,0.6622130923672911
KC1,0,5,0.460431654676259,0.8248868778280543,0.3556504541740143,0.6590820436573077
KC1,0,7,0.4768211920529801,0.8321482439129498,0.3708105236147515,0.6901280058887327
KC1,0,10,0.4473684210526316,0.8257487610428786,0.3342695859531273,0.667398865313124
KC1,1,3,0.42424242424242425,0.7750700280112045,0.3175811198160077,0.6194436271686222
KC1,1,5,0.391304347826087,0.7803275156216333,0.27345848475976997,0.6015493892807312
KC1,1,7,0.4413793103448276,0.7835164835164836,0.32956304555532606,0.6527748933661428
KC1,1,10,0.4868421052631579,0.8060116354234,0.38295074272485846,0.6996474625549021
KC1,2,3,0.4444444444444444,0.8072398190045249,0.33375069274771596,0.6538303102127478
KC1,2,5,0.44285714285714284,0.8075199310493428,0.3339629417686882,0.6466394990039299
KC1,2,7,0.4246575342465753,0.8045033397974575,0.30876611020633127,0.6404116861630389
KC1,2,10,0.4444444444444444,0.8033828916181858,0.33375069274771596,0.6538303102127478
KC1,3,3,0.45255474452554745,0.7745573714674838,0.3469706427111245,0.6456949971012473
KC1,3,5,0.4397163120567376,0.7902834525025538,0.328855442776345,0.6415953048768678
KC1,3,7,0.4316546762589928,0.8020726932243787,0.3205204380902108,0.6321728342305778
KC1,3,10,0.4460431654676259,0.8090100442628533,0.3377685412366108,0.6436484151000532
KC1,4,3,0.4148148148148148,0.7723638720829732,0.3035528559326282,0.6163993362633469
KC1,4,5,0.43283582089552236,0.7783923941227313,0.32581022568378587,0.6293045371825811
KC1,4,7,0.42028985507246375,0.7874027657735523,0.30784981815824014,0.6253089124225372
KC1,4,10,0.41379310344827586,0.7770527225583405,0.2957228979674396,0.629853668645865
