dataset,fold,k_neighbors,F1,AUC,MCC,Gmean
PC1,0,3,0.35,0.7950080515297906,0.30149484118779857,0.6527533657682196
PC1,0,5,0.4,0.7888888888888889,0.35405933692288893,0.6613313074614444
PC1,0,7,0.41025641025641024,0.7898550724637681,0.36863302077573845,0.7015051680530607
PC1,0,10,0.43902439024390244,0.7914653784219001,0.40424116094968265,0.7421082385212816
PC1,1,3,0.4166666666666667,0.8631239935587762,0.3996343009378709,0.5717447940303481
PC1,1,5,0.3870967741935484,0.852818035426731,0.3413486853695465,0.6169897312779327
PC1,1,7,0.36363636363636365,0.8644122383252818,0.31451573532854066,0.6138498140448513
PC1,1,10,0.3076923076923077,0.8512077294685991,0.25304470070199,0.6043321862224019
PC1,2,3,0.48484848484848486,0.8854672330097088,0.443764792914761,0.6914877727088349
PC1,2,5,0.4444444444444444,0.904126213592233,0.3990038543014097,0.6862024383574915
PC1,2,7,0.43243243243243246,0.8862257281553398,0.38606569649110567,0.6844315904031224
PC1,2,10,0.38095238095238093,0.8974514563106797,0.33184142310897663,0.6755077198756877
PC1,3,3,0.18181818181818182,0.8536104368932038,0.16837714512047428,0.35010400673797004
PC1,3,5,0.24,0.841626213592233,0.2076662138931735,0.4266600929914307
PC1,3,7,0.18181818181818182,0.8648361650485437,0.16837714512047428,0.35010400673797004
PC1,3,10,0.25,0.8364684466019418,0.22648361792793908,0.42772541323402047
PC1,4,3,0.42857142857142855,0.8862459546925566,0.39127312736012776,0.6216170581558161
PC1,4,5,0.5625,0.9325242718446602,0.5297004099222924,0.7594070246753144
PC1,4,7,0.45714285714285713,0.8995145631067961,0.4165180143466283,0.7087068309027964
PC1,4,10,0.47368421052631576,0.9242718446601942,0.4382541732726658,0.747812343419707
