,mean_abs_shap
loc,0.06885254116736511
iv(g),0.05814666145619622
lOBlank,0.05411047115400929
branchCount,0.03129957071878779
uniq_Opnd,0.030393680710947082
i,0.02483167951653895
total_Op,0.024614369367940453
uniq_Op,0.023661851478443813
l,0.023289208969447
t,0.021568680313784273
ev(g),0.020440357306585524
d,0.01984949204569937
lOComment,0.019259055827567626
locCodeAndComment,0.00849759646968962
