dataset,fold,weight_mode,n_seeds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
KC1,0,true_shap,1,0.460431654676259,0.8248868778280543,0.4498465634002059,0.3556504541740143,0.6590820436573077,0.43243243243243246,0.49230769230769234,0.8823529411764706
KC1,0,uniform,1,0.4755244755244755,0.8229907347554407,0.4523482118312488,0.37182369227370776,0.6772060680531876,0.4358974358974359,0.5230769230769231,0.876750700280112
KC1,0,random,5,0.4587664344881751,0.8237578108166345,0.45278106782252453,0.3515771909077299,0.6637591313342497,0.4206178337540763,0.5046153846153846,0.873389355742297
KC1,0,shuffled,5,0.4506484295845998,0.8216591251885369,0.4537668470595805,0.3423014593599176,0.6558127767564994,0.4155798356651122,0.49230769230769234,0.8739495798319329
KC1,1,true_shap,1,0.391304347826087,0.7803275156216333,0.3607574175639972,0.27345848475976997,0.6015493892807312,0.3698630136986301,0.4153846153846154,0.8711484593837535
KC1,1,uniform,1,0.43243243243243246,0.7742943331178626,0.3910794115414863,0.3173493541134519,0.6495983543529201,0.3855421686746988,0.49230769230769234,0.8571428571428571
KC1,1,random,5,0.4423932976487044,0.787382029734971,0.3899970941256553,0.33043503837318355,0.6553662558005451,0.39805862278639464,0.49846153846153846,0.8627450980392156
KC1,1,shuffled,5,0.43898564369851234,0.7823443223443224,0.38458570548011206,0.32629538192028845,0.6519026623827593,0.3961225648824702,0.49230769230769234,0.8633053221288517
KC1,2,true_shap,1,0.44285714285714284,0.8075199310493428,0.4662208404864882,0.3339629417686882,0.6466394990039299,0.41333333333333333,0.47692307692307695,0.876750700280112
KC1,2,uniform,1,0.4492753623188406,0.8148459383753501,0.463025452917901,0.3428821458027075,0.6487021501721796,0.4246575342465753,0.47692307692307695,0.8823529411764706
KC1,2,random,5,0.4484552090794914,0.8097134238310708,0.458045979098629,0.3380478493553044,0.6589912110042604,0.40572397019158,0.5015384615384615,0.866106442577031
KC1,2,shuffled,5,0.44512415335075434,0.8047489765136824,0.4540800339026904,0.33471797839667117,0.6538464182569347,0.4063602488897334,0.49230769230769234,0.8689075630252102
KC1,3,true_shap,1,0.4397163120567376,0.7902834525025538,0.42327462877876587,0.328855442776345,0.6415953048768678,0.41333333333333333,0.4696969696969697,0.8764044943820225
KC1,3,uniform,1,0.4647887323943662,0.8020726932243787,0.4304172306130979,0.35845603098519635,0.6630284621138324,0.4342105263157895,0.5,0.8792134831460674
KC1,3,random,5,0.45953809322934225,0.7958546135512428,0.4077933852109945,0.35276808255569925,0.6573332159707139,0.4320658125820346,0.4909090909090909,0.8803370786516854
KC1,3,shuffled,5,0.4500755892276807,0.7938117126319375,0.4112758404206815,0.3397207992647967,0.6540656322926396,0.4158463671826992,0.4909090909090909,0.8719101123595505
KC1,4,true_shap,1,0.43283582089552236,0.7783923941227313,0.39527234659571253,0.32581022568378587,0.6293045371825811,0.42028985507246375,0.4461538461538462,0.8876404494382022
KC1,4,uniform,1,0.460431654676259,0.7786732929991357,0.4071509981996988,0.3553496604754814,0.6589586084949447,0.43243243243243246,0.49230769230769234,0.8820224719101124
KC1,4,random,5,0.42807027892742183,0.7804148660328436,0.40203002895297546,0.31443068823505527,0.6386192660288128,0.3933135941055597,0.4707692307692308,0.8668539325842698
KC1,4,shuffled,5,0.4295585001425968,0.7741313742437338,0.40894143540940264,0.3184598259734578,0.6337740654461442,0.4043015384039176,0.4584615384615384,0.8764044943820224
