weight_mode,F1,AUC,PRAUC,MCC,Gmean
true_shap,0.46321766930163216,0.7920266050291332,0.46791113905899145,0.35918636049751007,0.6494476348478154
uniform,0.46385536777059255,0.794991137788133,0.47654964215835316,0.36030334190232155,0.655314760177132
random,0.4571865261827034,0.7933507970633845,0.47022479315999965,0.35273779294476515,0.6473262054490971
shuffled,0.45377595636068635,0.7934191952866597,0.4720515854149076,0.3484728891116852,0.6428232443020362
