group,source,target,n_source_filtered,n_source_total,F1,AUC,MCC,Gmean
PROMISE,CM1,JM1,498,498,0.12684031710079274,0.632120438277176,0.06723788189014801,0.2763414008339121
PROMISE,CM1,KC1,494,498,0.09473684210526316,0.5840728213633188,0.08015817953061055,0.23259385323027865
PROMISE,CM1,KC2,498,498,0.15625,0.7942461434523138,0.13754679070147371,0.30163014672202904
PROMISE,CM1,PC1,498,498,0.2125,0.6276489982885332,0.1514920383426913,0.4545983055955192
PROMISE,JM1,CM1,3025,10885,0.24347826086956523,0.7045588836871051,0.14924653097230242,0.5026180266238384
PROMISE,JM1,KC1,5207,10885,0.2862453531598513,0.7063154399595359,0.19293327022735857,0.4672394398923058
PROMISE,JM1,KC2,2570,10885,0.5052631578947369,0.7861051683368991,0.40212127031188677,0.6409091616924101
PROMISE,JM1,PC1,4767,10885,0.2727272727272727,0.7290785764622973,0.21245348344971166,0.5890242457368298
PROMISE,KC1,CM1,931,2109,0.2576271186440678,0.6595836552883959,0.186023453444224,0.6451773451115224
PROMISE,KC1,JM1,1507,2109,0.30577808079086416,0.5887832668977067,0.08281369902943796,0.5357002981282751
PROMISE,KC1,KC2,1209,2109,0.4126984126984127,0.7476973313816012,0.2360324732306061,0.6140640469488567
PROMISE,KC1,PC1,1306,2109,0.17,0.6443357998590556,0.10437173357211152,0.5995064918969922
PROMISE,KC2,CM1,423,522,0.25316455696202533,0.700695422935321,0.15996391595878812,0.6299207453703476
PROMISE,KC2,JM1,447,522,0.3705357142857143,0.6121537280268343,0.1843182676397063,0.5919726085294844
PROMISE,KC2,KC1,453,522,0.42212518195050946,0.7728117290428691,0.310616037209905,0.6252216780655817
PROMISE,KC2,PC1,446,522,0.19230769230769232,0.6718828651968187,0.13255176282896178,0.623279873947891
PROMISE,PC1,CM1,1007,1109,0.25287356321839083,0.7647606926957865,0.18438963181888413,0.4593369237573218
PROMISE,PC1,JM1,1088,1109,0.12464589235127478,0.6226513737619787,0.10771804858148097,0.2671458188784612
PROMISE,PC1,KC1,1037,1109,0.06111111111111111,0.6821368480089737,0.05982606490542104,0.1825022423474666
PROMISE,PC1,KC2,935,1109,0.28368794326241137,0.7885373268776038,0.25059437647538974,0.4249826956875127
NASA,MW1,PC3,243,250,0.04316546762589928,0.7404283690307526,0.05923668579645256,0.15141634844322896
NASA,MW1,PC4,241,250,0.022099447513812154,0.5948899991690211,0.04756777397020082,0.10645409646952887
NASA,MW1,MC2,197,250,0.0425531914893617,0.6379261363636364,-0.007077263128741119,0.14885929903466197
NASA,PC3,MW1,883,1053,0.4642857142857143,0.7730666666666667,0.4005078525961285,0.6916646586316233
NASA,PC3,PC4,1049,1053,0.27491408934707906,0.7169088623898953,0.19109461226881522,0.4600998511480145
NASA,PC3,MC2,639,1053,0.15384615384615385,0.6078125,-0.11017269983307673,0.30151134457776363
NASA,PC4,MW1,934,1270,0.0,0.5096888888888889,-0.047619047619047616,0.0
NASA,PC4,PC3,1203,1270,0.26666666666666666,0.7198058171514293,0.1591367998246875,0.49570200393622804
NASA,PC4,MC2,722,1270,0.18461538461538463,0.5471590909090909,-0.06523383542747964,0.3328595117244729
NASA,MC2,MW1,115,124,0.21052631578947367,0.5841777777777778,0.09595444922044512,0.5087675740890377
NASA,MC2,PC3,124,124,0.2191780821917808,0.5484748729060756,0.07618162800431495,0.4926326121707885
NASA,MC2,PC4,124,124,0.18181818181818182,0.4538261384410836,0.033191513416381734,0.41248385225317535
