dataset,majority_undersample_ratio,F1,AUC,MCC,Gmean
KC2,1.0,0.5236816907525863,0.7799196787148595,0.38761190409441554,0.7293174173303092
KC2,1.5,0.5421071647906328,0.7806733427215354,0.40987641484910053,0.7402607798962472
KC2,2.0,0.5528327924960658,0.7772153549261983,0.4254870036889411,0.7412293542966757
KC2,3.0,0.5275078951971092,0.7757653992593752,0.39595264487112375,0.7093859779029563
KC2,5.0,0.5269604499624784,0.7768111406665623,0.40006519758214887,0.6982897129207424
