filter_criterion,F1,AUC,PRAUC,MCC,Gmean,n_features_selected,stage1_time_s
shap,0.46321766930163216,0.7920266050291332,0.46791113905899145,0.35918636049751007,0.6494476348478154,9.276923076923076,11.3864
gini,0.4537350868172725,0.7984871275535996,0.4660870795657489,0.34892468759209766,0.6451110650067033,9.184615384615386,8.590630769230769
mutual_info,0.45296797200363514,0.7919369839354377,0.46963792272861704,0.346138633716522,0.6417103003287016,9.36923076923077,7.700692307692308
variance,0.45588304536013335,0.792124235006268,0.4674643015145693,0.35134581767439077,0.6446771081202451,9.63076923076923,7.829338461538462
