dataset,fold,strategy,shap_seconds,stage1_seconds,pipeline_seconds,F1,AUC,PRAUC,MCC,Gmean,Precision,Recall,Specificity
PC1,0,two_shap,5.371,18.395,18.912,0.4,0.7888888888888889,0.3721731012907483,0.35405933692288893,0.6613313074614444,0.35,0.4666666666666667,0.9371980676328503
PC1,0,single_shap,2.012,14.073,14.577,0.42105263157894735,0.7950080515297907,0.4015621958253537,0.37959315750299144,0.7033391716221727,0.34782608695652173,0.5333333333333333,0.927536231884058
PC1,1,two_shap,4.885,10.513,11.04,0.3870967741935484,0.852818035426731,0.41353649378238033,0.3413486853695465,0.6169897312779327,0.375,0.4,0.9516908212560387
PC1,1,single_shap,1.882,7.478,7.919,0.36363636363636365,0.8719806763285024,0.45714836822924854,0.31451573532854066,0.6138498140448513,0.3333333333333333,0.4,0.9420289855072463
PC1,2,two_shap,5.386,10.776,11.392,0.4444444444444444,0.904126213592233,0.5096528656865689,0.3990038543014097,0.6862024383574915,0.4,0.5,0.941747572815534
PC1,2,single_shap,2.348,7.886,8.411,0.47058823529411764,0.908373786407767,0.5216357148066707,0.42771845897117794,0.6897304947150052,0.4444444444444444,0.5,0.9514563106796117
PC1,3,two_shap,5.266,9.736,10.337,0.24,0.841626213592233,0.31133778493334285,0.2076662138931735,0.4266600929914307,0.3333333333333333,0.1875,0.970873786407767
PC1,3,single_shap,1.78,6.272,6.824,0.2608695652173913,0.8557342233009709,0.33119924316322963,0.24874130772853073,0.4287880867059752,0.42857142857142855,0.1875,0.9805825242718447
PC1,4,two_shap,6.659,11.261,11.817,0.5625,0.9325242718446602,0.5794426935526007,0.5297004099222924,0.7594070246753144,0.5294117647058824,0.6,0.9611650485436893
PC1,4,single_shap,2.16,6.724,7.27,0.5625,0.9297734627831715,0.5925980503203485,0.5297004099222924,0.7594070246753144,0.5294117647058824,0.6,0.9611650485436893
