dataset,fold,config,F1,AUC,MCC,Gmean
xalan-2.4,0,C_Reference,0.45,0.7930524759793052,0.365478533874969,0.6157576048559333
xalan-2.4,0,BalancedRF,0.5,0.783259423503326,0.40367605942467455,0.7445291969126747
xalan-2.4,0,EasyEnsemble,0.4383561643835616,0.7808573540280858,0.3326165901811788,0.7213357077339458
xalan-2.4,0,ABF,0.47058823529411764,0.7902808573540282,0.3652495628516764,0.6856139721789563
xalan-2.4,0,ABF_Hybrid,0.47761194029850745,0.7786400591278642,0.38113733060126753,0.7455212415857648
xalan-2.4,1,C_Reference,0.5106382978723404,0.8342572062084257,0.4176595708498058,0.6984302957695782
xalan-2.4,1,BalancedRF,0.5172413793103449,0.8488543976348855,0.4244179903573826,0.751937630097431
xalan-2.4,1,EasyEnsemble,0.4722222222222222,0.8351810790835181,0.38073425324665144,0.7519376300974311
xalan-2.4,1,ABF,0.5283018867924528,0.8270509977827051,0.4359058761480826,0.7405477288162061
xalan-2.4,1,ABF_Hybrid,0.49230769230769234,0.8394308943089431,0.39883064689271147,0.7534105749568177
xalan-2.4,2,C_Reference,0.41379310344827586,0.849039172209904,0.2909242623707872,0.6625891564490792
xalan-2.4,2,BalancedRF,0.5675675675675675,0.8736141906873613,0.525502848701629,0.8449668383264499
xalan-2.4,2,EasyEnsemble,0.5,0.8959719142645972,0.46270091951649417,0.8014215013114059
xalan-2.4,2,ABF,0.44776119402985076,0.8457132298595713,0.3395847644830842,0.717997955638839
xalan-2.4,2,ABF_Hybrid,0.5063291139240507,0.8458980044345898,0.4467732587043298,0.7972606462528816
xalan-2.4,3,C_Reference,0.425531914893617,0.8019746646795827,0.31495990142924857,0.6313942653610732
xalan-2.4,3,BalancedRF,0.4444444444444444,0.7716095380029806,0.33088981109367904,0.7039382509161095
xalan-2.4,3,EasyEnsemble,0.4057971014492754,0.7719821162444113,0.2807278088713416,0.6813460859377214
xalan-2.4,3,ABF,0.45614035087719296,0.7969448584202683,0.3443840805593401,0.6959538158957896
xalan-2.4,3,ABF_Hybrid,0.46153846153846156,0.8006706408345753,0.3555760623999832,0.724800193444571
xalan-2.4,4,C_Reference,0.3508771929824561,0.7447839046199702,0.20938052084823763,0.6011662783188852
xalan-2.4,4,BalancedRF,0.45901639344262296,0.7418032786885247,0.3492933766756386,0.7113095330887188
xalan-2.4,4,EasyEnsemble,0.45569620253164556,0.7801788375558868,0.36674804169110914,0.74607767202716
xalan-2.4,4,ABF,0.41379310344827586,0.7293219076005961,0.2897486791497955,0.6619305189538428
xalan-2.4,4,ABF_Hybrid,0.4155844155844156,0.7321162444113263,0.3018211838144788,0.7034087749097037
