dataset,fold,config,F1,AUC,MCC,Gmean
PC3,0,C_Reference,0.3548387096774194,0.8017671517671517,0.2515978702244681,0.6049002941843936
PC3,0,BalancedRF,0.40860215053763443,0.8025987525987526,0.33278238852667835,0.7356386620918187
PC3,0,EasyEnsemble,0.42201834862385323,0.7985446985446986,0.37700073796661554,0.7731190708507311
PC3,0,ABF,0.3380281690140845,0.8020790020790021,0.2272188034482024,0.6158002754221366
PC3,0,ABF_Hybrid,0.3711340206185567,0.8007276507276507,0.2823020831898685,0.7028306296476371
PC3,1,C_Reference,0.36,0.854989604989605,0.27441713285573627,0.5639923032163808
PC3,1,BalancedRF,0.45,0.8656964656964657,0.374890902731491,0.7467183924267284
PC3,1,EasyEnsemble,0.43564356435643564,0.8692307692307693,0.38432835892371164,0.7770084965701494
PC3,1,ABF,0.4262295081967213,0.8533264033264033,0.3367437707610449,0.6637322807733104
PC3,1,ABF_Hybrid,0.4175824175824176,0.845010395010395,0.3432377957015577,0.7409888319431334
PC3,2,C_Reference,0.4225352112676056,0.791891891891892,0.3328204940375652,0.6952467068372085
PC3,2,BalancedRF,0.449438202247191,0.8248440748440748,0.3855516511144813,0.7683987183985866
PC3,2,EasyEnsemble,0.38181818181818183,0.8010395010395011,0.31368159004247126,0.7298221239729121
PC3,2,ABF,0.379746835443038,0.8028066528066529,0.2815694522861476,0.6770671742301191
PC3,2,ABF_Hybrid,0.39603960396039606,0.8083160083160082,0.3240807484237836,0.7352146220938077
PC3,3,C_Reference,0.42424242424242425,0.8038252508361204,0.3331221870441566,0.6799813099930022
PC3,3,BalancedRF,0.4318181818181818,0.8172031772575251,0.3589133085672072,0.748325890769514
PC3,3,EasyEnsemble,0.4329896907216495,0.8281772575250836,0.37315207492278624,0.7669489568029525
PC3,3,ABF,0.37333333333333335,0.8252508361204013,0.2711867294998006,0.6603308180735311
PC3,3,ABF_Hybrid,0.44680851063829785,0.8122909698996655,0.38872153341123666,0.775486685032185
PC3,4,C_Reference,0.37681159420289856,0.7954640468227425,0.27502804937111897,0.6468989572333266
PC3,4,BalancedRF,0.4175824175824176,0.8173076923076923,0.34252444483143124,0.7403221751892368
PC3,4,EasyEnsemble,0.42718446601941745,0.8231605351170569,0.37402693090857303,0.7702125841280211
PC3,4,ABF,0.4358974358974359,0.8141722408026756,0.3537820067370053,0.7276491215875666
PC3,4,ABF_Hybrid,0.43564356435643564,0.8000627090301003,0.3836349450829715,0.7761602599746265
